"ASV","group"
"00008b61501479c964793e666099207d","Others"
"0003e5f611e467172b41ea746dbe7cce","Others"
"000aab9b27c9d93615f5fb6ac9985d07","Cryosphere"
"00152c94bed72fef0ea67bd4f2749747","Others"
"0019b1b4560f9ae559af3a21faf5d9c5","Others"
"001def781abb6d54b168b1971239b39c","Cryosphere"
"001f071aa0d6bede22766c317f594c35","Others"
"002006c89945aed537d467990a3b61da","Cryosphere"
"0023a13954bcb2eb50ba38c044151704","Others"
"00248b8bf0cce38e15038b79ab8ec551","Others"
"0028ccba8a5fde3b70ae74cc6bd86ad8","Others"
"00290b9740e0f03dc19c1e32583a6a9d","Others"
"002d1346641ba46a9dd9b3e33cbc775d","Cryosphere"
"0031f5cc5a2bd3c1e9894c1fc9b7eec3","Others"
"0033a3634dee78c41517edcf0086fae9","Cryosphere"
"003a276d1890ce89cb032565bcc7f9cc","Others"
"003b6429744537a6c9f52ab9fb15fe6b","Cryosphere"
"003d25180bc07272b2b9998f82d3f9ec","Others"
"003d50b0182a13a5ba07de98829c7fa9","Others"
"003dba3f3adc63c7077ee3d99651fb41","Others"
"0042a2d19c30fba99714db7249e1ad44","Others"
"00438790c35d65dfea14046671018107","Others"
"00457d0a07c58a205bcfac5e822915fc","Others"
"0046edc980b022442f11acad93f02ef2","Others"
"00471ba3b6194ac7d73a89e41c6b9f75","Others"
"004edeb112fde5e880dccafa8c3d66c3","Cryosphere"
"0050afb8ca10a96c85505faa1f67bada","Others"
"005bdf5eb69ff1938d35a878f743d14c","Cryosphere"
"005c41ea17576d18a010581209b870d3","Others"
"005ca5249d9eda32130e563093ae9b60","Others"
"005d34d3ac19f3d0a90d04c0d5302881","Others"
"00646a2a0350c12995b8cfb702d24859","Others"
"00648bc0682c19a11af4bd9e232ea632","Others"
"0065c388d00ffad93dd60045404794a0","Others"
"006b0e6060f45ba91f316426770dfa6c","Others"
"0074f4265855e38cca050bd2b804ebfa","Others"
"007875745ba61a894361e891f9f6dcc3","Others"
"007978dab7aed7eb4d5ffff337638bd2","Others"
"007b39c3acf278236cbe628d4bb01495","Cryosphere"
"007d366e5281de5f50ce5ace98e3f8d7","Others"
"008002f5695738c48e6f8e0e9593ed3f","Cryosphere"
"0081f021dc4623b19941e801973348e7","Others"
"0086d6944f7601e12b7f93a26a324270","Others"
"0088286d061331631f53b91bfbd3e25f","Others"
"008b7d4761d757446118a9eb40f2b5ac","Others"
"008d3066a5683e962902b8883136a60a","Others"
"008d950f7a9814b6831ed333dac31ae8","Others"
"0090eb55af6034460f4ba0a3f272c990","Others"
"009321e96e6433d38af66652ccd6dccc","Others"
"009dc4d0360745a3c4c8b8151d4106e9","Others"
"00a46f196493f9b0526ba18e6cb68019","Others"
"00a478d7945681604b06c6f9c079841b","Others"
"00a7a60490c67be6967a47654dd2016f","Cryosphere"
"00ac640adada1776f79faa0b58676ef3","Others"
"00af46c8c775fec30739ad51aaca18e6","Others"
"00b12769fb500298545c2dafeef9478c","Cryosphere"
"00b77d69aae70f5bfa545fb518369c37","Others"
"00bac11060bd0c46b9e5e82d827f22c1","Others"
"00c0616d6bd503d669f1ae16988f60fb","Cryosphere"
"00c324213a8f6c00868ad7135c0a5d88","Others"
"00c7840bb74f3c51ae2b406a3b6baa42","Others"
"00c905253e84aab5042613bcc22d568c","Others"
"00c9e8aed0396555cf4e35e8284eb4b0","Cryosphere"
"00ca035c1fbb2a888aeaf00f1ee510fe","Others"
"00ca8468e069349f51ccc63200948298","Cryosphere"
"00cb485af97098f65ef59cadc48a138e","Others"
"00ceacee23ab7fdb414ac919e3aabc0e","Cryosphere"
"00d01de52f68ebb0aa3d22f997982824","Others"
"00da6cac93fb5f27845b3139bf94221c","Others"
"00ddcb994ebb3daf8b58f046baa82061","Cryosphere"
"00e62b44f5f17a9ce17ef5f745b14c32","Others"
"00ea3c10c22f7108f927d0c9e3dbc7f4","Others"
"00f85527b5b0eb065a34831f556fc67d","Cryosphere"
"00fc80eff1fb164671b19afa67277c5d","Others"
"00febd6f843469ba14acd7d4e22a7776","Others"
"0101b8968035ea5f90ffdf2fc1492126","Others"
"0109d9405401480ea6d1d1369159bb4b","Others"
"010c39aec7badb24441a8124ce355404","Others"
"011508f3e0761744d6eb138af7566d0a","Others"
"011611d69f7f0a788654fc1cfef06e17","Cryosphere"
"01187dc164c24840b2f0e35f30733e61","Cryosphere"
"011e10f8a25fbb7772784b8ada133bb3","Others"
"0120687216806e6cc98f80f2e7b76f24","Others"
"012123d5beada1a152d1d1a6a47f2f19","Cryosphere"
"01273a175c15f3e55562a0fc881aaee9","Others"
"01276b6ca8d90b628559f604bcf060c9","Others"
"012e73dc002cbbf8c50798115263cbbf","Others"
"013c72b7b976832efe6017f151564f02","Others"
"013e870db8c05dfad4c6b83824d5a382","Cryosphere"
"013f5fc419e96185fbb389cd040d6b3c","Cryosphere"
"013f796c0a6e1e895abca4cb00290627","Cryosphere"
"014c1e65a98bad1e51c7162c8d31578f","Others"
"0151c31391f97d68d93e2a9e673213a9","Cryosphere"
"0153d026ee06c0f5bf3054478663af49","Others"
"015653bf8e300e1eb0fc4f23c49a92f3","Cryosphere"
"0156c435ec7756248fa1ff90265978e5","Others"
"016297058021a815343ab8dd21cdd318","Others"
"0166975362e2d0837bf05e86fd3777c3","Others"
"0167b434b0ccc4d5768de736c7c8621d","Others"
"016c1f085a6c105144a869938a7cf9be","Cryosphere"
"016c79ba2818c8970bf129a9c74fceac","Cryosphere"
"01781febe02ac30c2cda4d7fdf0bdbe2","Cryosphere"
"0180450052fd72fb034b3969aaf203ad","Cryosphere"
"0182a7fa616cb3d0fb65f98f8d257591","Others"
"0192a0153221f25f594e75cef1fa6eb4","Others"
"0198562b197e9a562b220777b3310a8a","Cryosphere"
"019ef3b8475e4a3053e0f127831777c4","Others"
"01a2f36333b0facbae8bd9ca4f777496","Others"
"01ae976a9a92d698f3ba88e0886a749f","Others"
"01aee4a39992fe428d107318e3f14b0f","Others"
"01b4b06eb3c7cc0ec765e9408a8a96de","Others"
"01b78e845921ae538c80fc4356ba019b","Cryosphere"
"01b918b1c42dcc68b8604f75956ab485","Others"
"01bbc700f4b26589c9b8bac5fbbf8efd","Others"
"01bf3c7c2af85773d87fcd45dabebdb0","Cryosphere"
"01c5e1b0b66f91e3e737d86c5d03b5a4","Others"
"01cdf34a1a0a19c03408a43b5164fb41","Others"
"01d016307ad76941afe09add3cab9f4d","Others"
"01d7a1635f79b82433615f2c78694a5a","Cryosphere"
"01db443595cf46f5bc72881ca5fa4b5c","Others"
"01e1a4c992ed9aa46d4268446b6315cc","Others"
"01e33e2763290d2483979a217617998e","Others"
"01e6a0641b590062d4734991488f23d3","Others"
"01e95bc3da07ab8563d2cc01b4c443e9","Cryosphere"
"01ea43571f2f713611a040657e744a5c","Others"
"01ee7f0d2a5e9628adc2ff326eeed152","Others"
"01eec5b0b393fb501b3b7767b8de49d6","Others"
"01f38519ac7dc537899a9bed0385f08e","Cryosphere"
"01f3cbf22afeec9cd4b3fbef9e71f1d0","Cryosphere"
"01f5fa44172cc043e69148e78f8f672d","Others"
"01f6ca4fe807278d22c62b3fa4bf1a91","Cryosphere"
"01fab5128a356827231fbacc44b9981a","Others"
"01fec0f74488c2f4d43f329065de1da8","Others"
"02060aec2d728a883a3b1759b3c6dc4b","Others"
"02087ee6e45ffb6feffd613bfea4f2f9","Cryosphere"
"020bd7239a23911e0aae8e5b51337cf3","Others"
"020c2a36d603b1f33fd4470519d0001c","Others"
"020e7aa6de0800e626712f508df01d4c","Cryosphere"
"02111cba5bbaa7ea9cc568c6b206a4d1","Others"
"021148c185f25cbc498361a4247dd478","Cryosphere"
"0212c112a908f30600100475ba5a9ee7","Others"
"021bbb1152bbe91a6a7de84a6f8f809c","Others"
"021e0584f7e2721b6b7e2e841f86a0b6","Others"
"021f6f439c4c198a5ea167023756cd73","Others"
