	Study	Sample	Ecosystem	Habitat	Location	Date	Cryosphere	Latitude	Longitude
0	PRJEB11496	ERR1144112	Marine	Sediment	Antarctica	2014	Yes		
1	PRJEB11496	ERR1144113	Marine	Sediment	Antarctica	2014	Yes		
2	PRJEB11496	ERR1144114	Marine	Sediment	Antarctica	2014	Yes		
3	PRJEB11496	ERR1144115	Marine	Sediment	Antarctica	2014	Yes		
4	PRJEB11496	ERR1144116	Marine	Sediment	Antarctica	2014	Yes		
5	PRJEB11496	ERR1144117	Marine	Sediment	Antarctica	2014	Yes		
6	PRJEB11496	ERR1144118	Marine	Sediment	Antarctica	2014	Yes		
7	PRJEB11496	ERR1144119	Marine	Sediment	Antarctica	2014	Yes		
8	PRJEB11496	ERR1144120	Marine	Sediment	Antarctica	2014	Yes		
9	PRJEB11496	ERR1144121	Marine	Sediment	Antarctica	2014	Yes		
10	PRJEB11496	ERR1144122	Marine	Sediment	Antarctica	2014	Yes		
11	PRJEB11496	ERR1144123	Marine	Sediment	Antarctica	2014	Yes		
12	PRJEB11496	ERR1144124	Marine	Sediment	Antarctica	2014	Yes		
13	PRJEB11496	ERR1144125	Marine	Sediment	Antarctica	2014	Yes		
14	PRJEB11496	ERR1144126	Marine	Sediment	Antarctica	2014	Yes		
15	PRJEB11496	ERR1144127	Marine	Sediment	Antarctica	2014	Yes		
16	PRJEB11496	ERR1144128	Marine	Sediment	Antarctica	2014	Yes		
17	PRJEB11496	ERR1144129	Marine	Sediment	Antarctica	2014	Yes		
18	PRJEB11496	ERR1144130	Marine	Sediment	Antarctica	2014	Yes		
19	PRJEB11496	ERR1144131	Marine	Sediment	Antarctica	2014	Yes		
20	PRJEB11496	ERR1144132	Marine	Sediment	Antarctica	2014	Yes		
21	PRJEB11496	ERR1144133	Marine	Sediment	Antarctica	2014	Yes		
22	PRJEB11496	ERR1144134	Marine	Sediment	Antarctica	2014	Yes		
23	PRJEB11496	ERR1144135	Marine	Sediment	Antarctica	2014	Yes		
24	PRJEB23054	ERR2174322	Terrestrial	Permafrost	USA	03.08.15	Yes		
25	PRJEB23054	ERR2174323	Terrestrial	Permafrost	USA	03.08.15	Yes		
26	PRJEB23054	ERR2174324	Terrestrial	Permafrost	USA	03.08.15	Yes		
27	PRJEB23054	ERR2174325	Terrestrial	Permafrost	USA	03.08.15	Yes		
28	PRJEB23054	ERR2174326	Terrestrial	Permafrost	USA	03.08.15	Yes		
29	PRJEB23054	ERR2174327	Terrestrial	Permafrost	USA	03.08.15	Yes		
30	PRJEB23054	ERR2174328	Terrestrial	Permafrost	USA	03.08.15	Yes		
31	PRJEB23054	ERR2174329	Terrestrial	Permafrost	USA	03.08.15	Yes		
32	PRJEB23054	ERR2174330	Terrestrial	Permafrost	USA	03.08.15	Yes		
33	PRJEB23054	ERR2174331	Terrestrial	Permafrost	USA	03.08.15	Yes		
34	PRJEB23054	ERR2174332	Terrestrial	Permafrost	USA	03.08.15	Yes		
35	PRJEB23054	ERR2174333	Terrestrial	Permafrost	USA	03.08.15	Yes		
36	PRJEB23054	ERR2174334	Terrestrial	Permafrost	USA	03.08.15	Yes		
37	PRJEB23054	ERR2174335	Terrestrial	Permafrost	USA	03.08.15	Yes		
38	PRJEB23054	ERR2174336	Terrestrial	Permafrost	USA	03.08.15	Yes		
39	PRJEB23054	ERR2174337	Terrestrial	Permafrost	USA	03.08.15	Yes		
40	PRJEB23054	ERR2174338	Terrestrial	Permafrost	USA	03.08.15	Yes		
41	PRJEB23054	ERR2174339	Terrestrial	Permafrost	USA	03.08.15	Yes		
